
Host: cm013.hpc.nyu.edu

Timers On : Thu Nov  7 14:52:18 2024
Timers Off: Thu Nov  7 14:52:19 2024

Wall Time:        0.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: cm013.hpc.nyu.edu

Timers On : Thu Nov  7 14:36:35 2024
Timers Off: Thu Nov  7 14:58:46 2024

Wall Time:     1331.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.083s      0.061w      8 calls
Libint2ERI::Libint2ERI              :      0.817u      0.150s      0.498w    103 calls
DFH: initialize()                   :      0.200u      0.033s      0.124w      8 calls
DFH: AO Construction                :      0.067u      0.000s      0.025w      8 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      8 calls
HF: Form core H                     :      0.083u      0.017s      0.049w     21 calls
HF: Form S/X                        :      0.000u      0.000s      0.008w     21 calls
HF: Guess                           :      1.050u      0.067s      0.697w     21 calls
SAD Guess                           :      0.967u      0.067s      0.659w     19 calls
HF: Form G                          :      1.583u      0.017s      0.972w    180 calls
JK: D                               :      0.000u      0.000s      0.002w    193 calls
JK: USO2AO                          :      0.017u      0.000s      0.008w    193 calls
JK: JK                              :      1.567u      0.017s      0.963w    193 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.031w     83 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     83 calls
DFH: compute_J                      :      0.000u      0.000s      0.008w     83 calls
DFH: compute_K                      :      0.033u      0.000s      0.022w     83 calls
JK: J                               :      0.150u      0.017s      0.078w    110 calls
JK: J1                              :      0.033u      0.017s      0.041w    110 calls
JK: J2                              :      0.100u      0.000s      0.035w    110 calls
JK: K                               :      1.383u      0.000s      0.834w    110 calls
JK: K1                              :      1.233u      0.000s      0.755w    110 calls
JK: K2                              :      0.133u      0.000s      0.079w    110 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w    193 calls
HF: Form F                          :      0.017u      0.000s      0.002w    180 calls
